"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\moc90\OneDrive\デスクトップ\test_program\API_request_test.py", "Python", 18, 0, 4, 5, 27
"c:\Users\moc90\OneDrive\デスクトップ\test_program\Convert_drag2retry.py", "Python", 24, 0, 0, 1, 25
"c:\Users\moc90\OneDrive\デスクトップ\test_program\Dup_detection.py", "Python", 174, 0, 10, 19, 203
"c:\Users\moc90\OneDrive\デスクトップ\test_program\README.md", "Markdown", 0, 18, 0, 4, 22
"c:\Users\moc90\OneDrive\デスクトップ\test_program\Test.py", "Python", 859, 0, 41, 110, 1010
"c:\Users\moc90\OneDrive\デスクトップ\test_program\func_test.py", "Python", 131, 0, 10, 20, 161
"c:\Users\moc90\OneDrive\デスクトップ\test_program\functions.py", "Python", 309, 0, 9, 40, 358
"c:\Users\moc90\OneDrive\デスクトップ\test_program\origin_seperator.py", "Python", 17, 0, 0, 4, 21
"c:\Users\moc90\OneDrive\デスクトップ\test_program\tmp.py", "Python", 3, 0, 0, 2, 5
"c:\Users\moc90\OneDrive\デスクトップ\test_program\txt_merge.py", "Python", 44, 0, 1, 11, 56
"Total", "-", 1579, 18, 75, 216, 1888
